address,ip,port,protocol,anonymity,latency,ssl_supported,verified_exit,country_code,country_name,hosting,as_name,org,target_ok,target_latency
16.28.32.67:1056,16.28.32.67,1056,socks5,elite,0.533,True,True,ZA,South Africa,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (af-south-1),False,0.0
108.137.70.33:50735,108.137.70.33,50735,socks5,elite,0.385,True,False,ID,Indonesia,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-southeast-3),False,0.0
83.168.74.163:8080,83.168.74.163,8080,http,elite,0.597,False,False,PL,Poland,residential,AS35179 Korbank S. A.,Korbank,False,0.0
16.28.101.55:12697,16.28.101.55,12697,socks5,elite,0.517,True,False,ZA,South Africa,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (af-south-1),False,0.0
18.61.3.91:9355,18.61.3.91,9355,socks5,elite,0.441,True,False,IN,India,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-south-2),False,0.0
16.28.66.143:1337,16.28.66.143,1337,socks5,elite,0.522,True,False,ZA,South Africa,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (af-south-1),False,0.0
43.208.134.144:58737,43.208.134.144,58737,socks5,elite,0.406,True,False,TH,Thailand,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-southeast-7),False,0.0
43.209.212.140:42274,43.209.212.140,42274,socks5,elite,0.417,True,False,TH,Thailand,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (ap-southeast-7),False,0.0
66.151.34.89:80,66.151.34.89,80,http,elite,0.535,False,True,FI,Finland,datacenter,AS57043 HOSTKEY B.V.,Hostkey B.V,False,0.0
13.245.171.157:23209,13.245.171.157,23209,socks5,elite,0.517,True,True,ZA,South Africa,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (af-south-1),False,0.0
13.244.203.188:22516,13.244.203.188,22516,socks5,elite,0.541,True,True,ZA,South Africa,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (af-south-1),False,0.0
51.17.154.141:16621,51.17.154.141,16621,socks5,elite,0.911,True,False,IL,Israel,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (il-central-1),False,0.0
13.244.203.188:1337,13.244.203.188,1337,socks5,elite,0.534,True,True,ZA,South Africa,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (af-south-1),False,0.0
31.76.111.88:1080,31.76.111.88,1080,socks5,elite,0.664,True,True,DE,Germany,residential,AS216039 EdgeSec Technologies Limited,"Aurorix Networks, Frankfurt",False,0.0
